Interval,GMTIntervalEnd,Reserve Zone,RegUP,RegDN,Spin,Supp,RampUP,RampDN,UncUP,ts_utc
09/17/2026 01:00:00,09/17/2026 06:00:00,SWPW,0.0013,13.0909,0.0,0.0,0.0,0.0,0.0,2026-09-17 06:00:00+00:00
09/17/2026 02:00:00,09/17/2026 07:00:00,SWPW,14.5956,35.9815,7.0349,6.75,0.0,0.0,0.0,2026-09-17 07:00:00+00:00
09/17/2026 03:00:00,09/17/2026 08:00:00,SWPW,50.216,45.0011,6.2151,5.9301,5.215,0.0,0.0,2026-09-17 08:00:00+00:00
09/17/2026 04:00:00,09/17/2026 09:00:00,SWPW,15.2567,32.7449,7.6962,7.4112,0.0,0.0,0.0,2026-09-17 09:00:00+00:00
09/17/2026 05:00:00,09/17/2026 10:00:00,SWPW,14.5953,30.419,8.9731,6.75,0.0,0.0,0.0,2026-09-17 10:00:00+00:00
09/17/2026 06:00:00,09/17/2026 11:00:00,SWPW,15.3096,25.1315,10.3531,7.4643,1.3531,0.0,1.3531,2026-09-17 11:00:00+00:00
09/17/2026 07:00:00,09/17/2026 12:00:00,SWPW,18.6367,12.2961,15.3589,7.5141,6.9575,0.0,6.9575,2026-09-17 12:00:00+00:00
09/17/2026 08:00:00,09/17/2026 13:00:00,SWPW,19.7944,12.3131,13.6497,7.5141,4.6498,0.0,0.0,2026-09-17 13:00:00+00:00
09/17/2026 09:00:00,09/17/2026 14:00:00,SWPW,45.001,41.0723,9.0,7.5141,0.0,0.0,0.0,2026-09-17 14:00:00+00:00
09/17/2026 10:00:00,09/17/2026 15:00:00,SWPW,47.7253,45.0017,11.7245,7.5141,2.7245,0.0,0.0,2026-09-17 15:00:00+00:00
09/17/2026 11:00:00,09/17/2026 16:00:00,SWPW,45.0004,45.0015,9.0,7.5141,0.0,0.0,0.0,2026-09-17 16:00:00+00:00
09/17/2026 12:00:00,09/17/2026 17:00:00,SWPW,45.0008,45.0013,9.0,7.5141,0.0,0.0,0.0,2026-09-17 17:00:00+00:00
09/17/2026 13:00:00,09/17/2026 18:00:00,SWPW,42.1796,45.0013,8.0818,7.5141,0.0,0.0,0.0,2026-09-17 18:00:00+00:00
09/17/2026 14:00:00,09/17/2026 19:00:00,SWPW,49.0176,45.0011,13.016,7.5141,4.016,0.0,0.0,2026-09-17 19:00:00+00:00
09/17/2026 15:00:00,09/17/2026 20:00:00,SWPW,50.3387,45.0013,14.3368,7.5141,5.3368,0.0,5.3368,2026-09-17 20:00:00+00:00
09/17/2026 16:00:00,09/17/2026 21:00:00,SWPW,50.7642,45.0017,16.2329,7.5141,7.2329,0.0,6.9575,2026-09-17 21:00:00+00:00
09/17/2026 17:00:00,09/17/2026 22:00:00,SWPW,55.7639,45.0016,19.7617,7.5141,10.7617,0.0,0.0,2026-09-17 22:00:00+00:00
09/17/2026 18:00:00,09/17/2026 23:00:00,SWPW,14.5966,0.0019,14.5948,6.75,5.5947,0.0,5.5948,2026-09-17 23:00:00+00:00
09/17/2026 19:00:00,09/18/2026 00:00:00,SWPW,17.8366,0.2868,17.8347,7.5141,10.5755,0.0,10.5755,2026-09-18 00:00:00+00:00
09/17/2026 20:00:00,09/18/2026 01:00:00,SWPW,60.0393,45.0013,22.8819,7.5141,15.0372,0.0,6.9575,2026-09-18 01:00:00+00:00
09/17/2026 21:00:00,09/18/2026 02:00:00,SWPW,7.5488,24.8115,6.75,6.75,7.5474,0.0,0.0,2026-09-18 02:00:00+00:00
